Filename,Label,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
mixed13 (2).wav,mixed,-171.71962,105.65654,-23.576982,6.5448265,2.8253767,2788.417,15.561314301451565,17.242900238767344,0.4476293,0.084086575,0.04872052,4397.691671365623,4556.673679051957,0.11799568965517242,16.72467245479152,6.9558063
mixed13 (20).wav,mixed,-138.58595,104.8524,-29.768103,-8.075451,-2.6796043,1790.1432,15.727336790903951,20.799933831523536,0.45345378,0.0752013,0.09140346,5027.14624836282,4655.15964770253,0.16402321300287356,23.456327796612214,6.0889835
mixed13 (21).wav,mixed,-215.19556,132.33885,1.5108227,15.326802,9.348546,3040.4792,14.335854532989632,12.258812490923402,0.6083072,0.059774864,0.034708824,3540.4287165788087,4360.992791978454,0.08065620510057471,12.448643246035743,8.93632
mixed13 (22).wav,mixed,-162.07492,126.19078,-11.7676115,2.0336516,9.629446,1943.5134,14.805239407764223,16.617452439497306,0.4981455,0.07919067,0.055018272,4185.914555693498,4461.894924278071,0.11892174030172414,21.578640133400874,7.365035
mixed13 (23).wav,mixed,-206.02939,168.20158,-7.21764,28.295155,12.539085,1713.0957,15.83386778747767,18.78668800784524,0.4881836,0.09062379,0.0015741974,1955.640640109905,3153.6755031724633,0.029947916666666668,26.00440339003878,9.871211
mixed13 (24).wav,mixed,-260.38492,156.397,11.747985,22.834906,2.9769616,1439.7083,15.569744506092784,17.706487160537556,0.54089314,0.07174103,0.003593912,2311.418861223953,3648.5531385419076,0.04149268139367816,7.414869721758185,10.026757
mixed13 (25).wav,mixed,-243.61386,163.605,-2.1156342,17.146488,1.9195678,2017.7,15.506527840325813,15.528346343980592,0.48966828,0.08043779,0.002865287,2139.161452842837,3340.860434428833,0.036722117456896554,15.874498449917345,9.614651
mixed13 (3).wav,mixed,-204.99658,160.45853,4.457212,24.627455,5.0530767,2588.2195,15.309320903127004,16.55130287596982,0.5116728,0.08410961,0.004562739,2315.7870615952006,3485.776971943086,0.04235699533045977,23.062317872705272,9.321762
mixed13 (4).wav,mixed,-181.20421,127.65497,-6.642901,8.137221,1.778027,1897.429,14.842354527503776,12.258087102677337,0.45439985,0.08600572,0.03571708,3833.695619670578,4245.28377651086,0.11330369971264367,16.721815907757062,7.818014
mixed13 (5).wav,mixed,-224.16803,141.66046,-2.7223396,26.744402,4.3064446,3360.166,15.434897901609775,17.132765161065485,0.5009806,0.08241729,0.0073108487,2919.2775946346114,3851.44977631997,0.054620150862068964,19.535266430203325,9.70034
